id_evento,tipo_evento,descripcion,canal,estado,fecha_evento,responsable,observaciones
31,Mantenimiento,Practice another total doctor would teach.,Email,Finalizado,2025-01-06,Heidi Wiley,While church service final.
32,Mantenimiento,Record management about.,Llamada,Finalizado,2024-07-06,Steven Jones,Step edge behind than north.
33,Reclamo,Save despite story worry write rock.,SMS,Finalizado,2024-11-29,Laurie Sanders,Audience range second team.
34,Reclamo,Energy weight nice contain foot mother.,Email,Activo,2024-07-07,James Green,Vote base my service.
35,Reclamo,Way boy state.,Email,Finalizado,2024-04-21,Alexandria Boone,Expert positive black past.
36,Reclamo,Food area pretty.,Llamada,Finalizado,2024-04-10,Julie Andrade,Theory sing party short.
37,Mantenimiento,Usually thank radio hotel.,Llamada,Finalizado,2024-08-22,Erin May,Him television north turn.
38,Campaña,Knowledge several see key.,Llamada,Activo,2025-03-28,Debra Daniels,Finish return leader.
39,Reclamo,Government child former second practice.,Llamada,Finalizado,2024-11-28,Justin Snyder,Benefit read enter again.
40,Campaña,Sure safe model various west realize.,Email,Finalizado,2024-09-25,Charles Wilkinson,Whom test single he.
41,Campaña,Modern discuss activity usually these sister.,Llamada,Finalizado,2024-09-30,Gregory Tapia,Worry this technology to.
42,Campaña,Realize development kitchen able girl reason.,Email,Finalizado,2025-02-15,Robert Black,Stock court several again.
43,Reclamo,Talk five lose yeah difference.,Llamada,Activo,2024-06-05,Deborah Flynn,Meet lose set finally.
44,Mantenimiento,Need perhaps television.,Llamada,Finalizado,2025-01-20,Katie White,Stay but economic effort.
45,Reclamo,Local idea someone beat pressure write.,Llamada,Activo,2024-07-01,Selena Pena,And again per between.
46,Reclamo,Value finally team stay.,SMS,Activo,2024-09-13,Nicholas Braun,Land rich clear pattern.
47,Mantenimiento,Quality head social performance cell.,SMS,Finalizado,2024-10-21,Angel Cobb,Along report second defense.
48,Mantenimiento,Finally course throw discuss family prepare.,Llamada,Finalizado,2024-05-20,Kevin Hodge,Fine pressure machine.
49,Mantenimiento,Today board personal.,Email,Activo,2024-07-09,Nicole Marquez,Score care report top.
50,Campaña,Ability level none difference rather.,Email,Finalizado,2025-02-02,Jason Price,Out myself admit.
51,Reclamo,Mission thank share.,Llamada,Activo,2025-01-19,John Lee,With down with where.
52,Reclamo,Crime middle show cultural camera quite.,Email,Activo,2024-10-19,Wendy Valenzuela,Drop artist foreign share.
53,Reclamo,Line later poor sometimes.,SMS,Finalizado,2024-04-14,Elijah Sullivan,Candidate west interview bag.
54,Campaña,Chair move style.,SMS,Finalizado,2024-06-05,Ernest Gould,North pick stuff speech song.
55,Reclamo,Despite only growth this.,SMS,Activo,2024-06-20,Joseph Gibbs,Indicate his mind debate.
56,Reclamo,Game until already mouth source.,SMS,Activo,2024-09-23,Michelle Walter,Team stock small friend fill.
57,Campaña,Believe structure maybe process.,Llamada,Finalizado,2024-12-04,Kelly Riley,Adult including American.
58,Reclamo,Take case almost central article.,SMS,Activo,2024-06-07,Lisa Good,Nearly sit recent.
59,Reclamo,Notice game someone doctor.,SMS,Activo,2025-03-24,Karen Macdonald,Including billion wide full.
60,Campaña,Pressure security car.,Llamada,Activo,2024-11-16,Christopher Morgan,Mother hand try follow.
61,Campaña,Tree will compare American husband.,Email,Activo,2024-10-07,Michael Parrish,Player suffer store.
62,Reclamo,Religious then hospital catch believe order.,Email,Finalizado,2024-05-15,Charles Ramirez,Very occur reach.
63,Reclamo,To sport certainly who reason.,Email,Finalizado,2024-12-22,Morgan Gonzalez,Poor do while ok.
64,Reclamo,Good two figure.,Email,Activo,2024-06-09,John Price,Good pull manage.
65,Mantenimiento,Yet recognize sing happen stop age.,Llamada,Activo,2024-05-18,Marc Mckinney,War likely pattern whatever.
66,Campaña,Voice each camera our too.,Llamada,Finalizado,2024-10-27,Jennifer Williams,Remember official course so.
67,Campaña,Director performance week eye bed.,Email,Activo,2024-10-07,Karl Copeland,Sometimes office activity.
68,Campaña,Political college focus.,SMS,Activo,2024-04-18,Phillip Tran,Stop skin some fall meeting.
69,Campaña,Human work level light.,Llamada,Activo,2025-02-04,Todd Sexton,Father actually model hour.
70,Reclamo,Full bed production.,Llamada,Activo,2024-12-25,Robin Gallagher,Myself book modern easy.
71,Mantenimiento,A clear watch game word card.,SMS,Activo,2025-02-24,Lisa Phillips,Blue yeah rule.
72,Campaña,Even trade list.,Llamada,Activo,2024-06-07,Tiffany Klein,Thing power hope suddenly.
73,Mantenimiento,Nice board many.,Email,Activo,2025-02-09,Mark Cisneros,Off strategy if myself.
74,Campaña,Cultural institution way approach.,Llamada,Finalizado,2024-06-01,Mark Wilson,Clearly past such month.
75,Mantenimiento,Thousand material always technology.,Email,Activo,2024-10-18,Dana Flynn,Exactly however apply town.
76,Mantenimiento,Cost impact actually range vote.,SMS,Activo,2025-02-13,Laura Morse,Buy mouth find kitchen close.
77,Reclamo,Ball short where hope.,Email,Finalizado,2024-08-27,Victoria Castro,Toward family such out.
78,Mantenimiento,Finish Mr forward manage.,Llamada,Activo,2024-12-27,Jennifer Barnes,Dog option consider.
79,Campaña,Government goal worry not benefit.,Llamada,Activo,2024-07-06,Tracy Ramirez,Speak street way its.
80,Reclamo,Those door according paper ten.,Email,Finalizado,2024-04-28,Kimberly Brown,Cover age budget cold.
81,Reclamo,Provide seem force true would fund.,Llamada,Activo,2025-01-11,Fernando Richardson,General any task wall.
82,Reclamo,Analysis growth effort.,Llamada,Activo,2024-09-29,Allison Flores,Save team leave back.
83,Campaña,Simple street future sell.,SMS,Finalizado,2025-01-29,Jose Walton,Save ten if.
84,Reclamo,Carry mention western window fill.,SMS,Activo,2025-01-26,Christopher Martin,Work focus sing foreign law.
85,Reclamo,Hard approach radio as.,Llamada,Finalizado,2024-09-08,Sean Davis,Gas last pick onto.
86,Mantenimiento,Later network six.,Email,Finalizado,2024-06-03,Michael Thompson,Less new cold important.
87,Reclamo,Position carry drive.,Llamada,Activo,2024-04-19,Marissa Myers,Enough wait song.
88,Mantenimiento,Media north structure air.,Email,Finalizado,2024-09-26,Tiffany Carter,Very site letter.
89,Mantenimiento,Probably true condition large.,SMS,Activo,2024-08-24,Mary Kelley,The plan such.
90,Campaña,Ask upon high.,Email,Finalizado,2024-12-18,Ronnie Hughes,State present foot support.
91,Campaña,Decide news lot newspaper.,Llamada,Activo,2024-08-17,Phillip Thomas,Guy thousand loss effect.
92,Mantenimiento,System wife include radio now.,SMS,Finalizado,2025-04-08,Judy Morgan,Upon spend even wait.
93,Mantenimiento,Follow somebody fish.,Email,Activo,2024-10-26,Nicholas Black,Change year establish just.
94,Reclamo,Compare they few across pass.,SMS,Activo,2025-03-03,Jon Butler,Police training movie what.
95,Campaña,Food fund compare yeah.,SMS,Activo,2025-04-04,Gregory Holden,Image camera contain often.
96,Reclamo,Allow there another.,Llamada,Activo,2024-09-20,Daniel Campbell,Deal receive join full send.
97,Campaña,Adult apply include dog minute.,Email,Activo,2024-10-16,Darren Carpenter,Know go lay foreign time.
98,Reclamo,Join life manage company approach.,Email,Finalizado,2024-06-10,Joseph Adams,Many pull speak best.
99,Reclamo,Morning without scientist attack hour prevent.,Llamada,Activo,2025-02-28,Kylie Phillips,Subject arm scientist life.
100,Reclamo,Yourself team window career.,SMS,Finalizado,2025-01-06,David Hart Jr.,Worry you determine.
101,Mantenimiento,Indicate world indeed himself card.,Llamada,Activo,2024-11-16,Jeffrey Newman,Dog ten science her.
102,Campaña,Card Republican charge.,Email,Finalizado,2025-02-01,Kyle Russell,Take attack rock.
103,Reclamo,Whether new step recognize.,Email,Activo,2025-03-31,Madison Rhodes,Later draw garden human.
104,Reclamo,Push edge difference should amount walk.,Email,Activo,2024-04-12,Henry Cameron,Tonight north south maybe.
105,Reclamo,Interview present gas.,Email,Activo,2024-12-09,Cody Fisher,Us rock hot development.
106,Mantenimiento,Green especially brother meet simple.,Llamada,Finalizado,2025-01-13,James Allison,Available cultural industry.
107,Mantenimiento,Tree project money safe risk already.,SMS,Finalizado,2024-10-31,Eric Moore,Notice clearly time issue.
108,Reclamo,Law one green husband give.,Email,Finalizado,2025-01-04,Samantha Villarreal,Agree language control.
109,Reclamo,Read admit protect lot.,Email,Finalizado,2024-10-07,Michael Jennings,Anyone surface sit someone.
110,Mantenimiento,Safe father north.,Email,Activo,2024-08-16,Anna Oliver,Eat ability believe nation.
111,Mantenimiento,Meet close image.,Email,Finalizado,2024-11-11,Jonathan Briggs,Cup office say speech.
112,Mantenimiento,Prepare toward very.,SMS,Finalizado,2025-03-05,Allen Patton,During computer especially.
113,Campaña,Interview language theory together painting.,SMS,Finalizado,2024-12-25,Deanna Erickson,Figure seek raise test media.
114,Reclamo,Make wish who.,Llamada,Activo,2024-07-21,Alex Hughes,Oil financial care dog each.
115,Reclamo,Go ask military.,SMS,Finalizado,2025-03-23,Matthew Stone,Represent production place.
116,Campaña,Pay score recent local.,Email,Finalizado,2024-10-02,Nicholas Ramos,American alone south wife.
117,Mantenimiento,Country two government network American traditional.,Email,Finalizado,2024-09-01,Jamie Vasquez,Answer Mrs government degree.
118,Campaña,Because too film cost key at.,Llamada,Finalizado,2024-11-26,Troy Coffey,Spring at late.
119,Campaña,Decide sure science.,Email,Finalizado,2025-02-20,Shannon Valentine,Standard during name may.
120,Mantenimiento,And over glass believe land.,Email,Activo,2024-07-19,Melanie Stevens,Trip sit white present.
121,Reclamo,Window seven newspaper.,Email,Finalizado,2024-12-11,Madison Medina,Than wish care own.
122,Mantenimiento,Half more nothing staff significant lawyer.,SMS,Finalizado,2025-04-09,Stacey Morgan,Tough score relate when soon.
123,Campaña,Floor camera newspaper television because.,SMS,Activo,2024-10-21,Ashley Smith,Clearly goal month.
124,Mantenimiento,Wait see explain.,Llamada,Finalizado,2024-07-05,Erica Paul,Front add despite.
125,Campaña,Respond issue region.,Email,Finalizado,2025-02-14,Dillon Steele,Enter economic long son.
126,Campaña,Without least collection put.,Llamada,Activo,2025-03-29,Stephanie Estrada,Need scene whether.
127,Reclamo,Receive collection protect fight.,Llamada,Finalizado,2024-09-09,Margaret Wall MD,House point than notice very.
128,Mantenimiento,Really sense economic long.,Email,Activo,2024-07-24,Gregory Garcia,Play small mouth.
129,Mantenimiento,View free politics hear western too.,Email,Activo,2024-05-03,Taylor Hines,Six final medical together.
130,Mantenimiento,Fire beyond provide word hear.,Llamada,Activo,2024-09-01,Brandon Miller,Model could data.
131,Mantenimiento,Significant imagine trip increase.,SMS,Finalizado,2024-07-24,Mary Jackson,Player despite artist have.
132,Campaña,Pass spend face.,Llamada,Finalizado,2024-10-19,Melanie Scott,Water others class.
133,Campaña,Billion sell Republican stop everything.,Llamada,Finalizado,2024-08-29,Matthew Lang,Figure rich new order.
134,Campaña,Theory article sing defense.,SMS,Finalizado,2025-04-03,Cynthia Lee,Provide hair about sort.
135,Mantenimiento,Base sure too raise deep young.,SMS,Finalizado,2025-02-09,Vicki Lin,Someone politics edge choice.
136,Reclamo,Song interest treatment piece.,Email,Finalizado,2025-01-26,Robert Mclean,He receive film.
137,Mantenimiento,Teacher fear successful term under actually.,Llamada,Activo,2024-12-05,Deborah Waters,Conference data cause leave.
138,Mantenimiento,Between left by second.,SMS,Finalizado,2024-10-15,David Taylor,Speak fine and hour thus.
139,Campaña,Question analysis minute.,SMS,Finalizado,2024-05-07,Kyle White,Should always arrive whose.
140,Reclamo,Positive moment save rise.,Llamada,Activo,2025-01-27,Gregory Orozco,Heart two get give.
141,Campaña,Guess example old change child.,Llamada,Finalizado,2024-10-10,Jo Hicks DDS,Consumer decide blood eat.
142,Campaña,Together every hold the least poor.,Email,Activo,2024-10-31,Jennifer Mcdowell,Learn begin region hotel.
143,Reclamo,Begin ago say describe throughout.,Llamada,Activo,2024-07-07,Michael Quinn,Check him me hair summer.
144,Mantenimiento,Stop stop lay point project sell.,Email,Finalizado,2024-09-25,Jessica Maxwell,Good common this place.
145,Mantenimiento,Help important they chance on example.,SMS,Finalizado,2024-10-03,Robin Solomon,Effect kitchen kind.
146,Mantenimiento,Watch country short kitchen down claim.,Email,Activo,2024-07-23,Robert Brady,Lot prevent poor.
147,Reclamo,Student according evidence air.,Email,Finalizado,2024-04-13,Trevor Martin,Issue imagine agency agree.
148,Reclamo,Peace instead control both.,Email,Finalizado,2024-10-21,Ashley Peterson,She without never.
149,Reclamo,Agree tree else.,Email,Finalizado,2024-11-18,Deanna Stewart,General degree do store.
150,Reclamo,People design create technology.,Email,Finalizado,2024-09-17,Karen James,Approach discuss sell appear.
151,Mantenimiento,American black tonight night care night.,Email,Finalizado,2024-07-03,Theresa Johnson,Color station create.
152,Mantenimiento,Out pass true marriage one traditional.,Email,Finalizado,2025-03-12,Brenda Gomez,Ask our on give show.
153,Campaña,What tough majority daughter eight.,Llamada,Activo,2025-02-06,Jonathon Aguilar,Nation resource decide cell.
154,Reclamo,Wish view matter exactly whatever.,Llamada,Activo,2024-11-15,Michael Ashley,Owner nor with at eight.
155,Campaña,Difficult line determine season.,Llamada,Finalizado,2024-07-19,Veronica Morris,Plant positive threat baby.
156,Reclamo,Reflect people throughout me beautiful stand.,Email,Activo,2024-12-01,Lauren Hernandez,Machine itself fire sign.
157,Campaña,Bit buy purpose.,Email,Finalizado,2024-12-02,Ronald Carpenter,Receive difficult dog table.
158,Reclamo,Decide Congress may writer kid.,SMS,Activo,2024-06-30,William Warren,Customer cut computer create.
159,Reclamo,Movie traditional call enough.,Llamada,Activo,2024-06-19,Amber Sims,Detail couple back world.
160,Campaña,Add figure above measure senior.,SMS,Activo,2025-02-20,Shawn Campbell,It final audience space.
161,Mantenimiento,Final type recognize approach apply leader.,Email,Finalizado,2024-09-20,Charles Fisher,Help bit energy.
162,Mantenimiento,Himself event quickly.,Email,Activo,2024-04-17,Katie Nguyen,Discuss cause produce money.
163,Reclamo,Establish safe receive various.,SMS,Finalizado,2024-09-17,Antonio Cohen,Case of enough himself issue.
164,Mantenimiento,Art seven senior property.,Email,Activo,2024-11-30,Loretta Caldwell PhD,Unit tonight unit.
165,Reclamo,White from from sense region woman.,SMS,Finalizado,2024-12-14,John Daniels,Son mind address have full.
166,Mantenimiento,Piece exist majority style east maintain.,Llamada,Finalizado,2024-06-08,Eric Dixon,Husband fill buy parent.
167,Campaña,Rate military change direction executive family.,Llamada,Finalizado,2024-10-09,Mark Baker,Life lot any according.
168,Campaña,Space increase purpose floor two past.,SMS,Finalizado,2025-04-05,Amy Lopez,Another choose central rich.
169,Reclamo,Medical word wear.,SMS,Finalizado,2024-05-30,Alexander Webb,Bill professor lot.
170,Campaña,From itself tonight save.,Email,Finalizado,2024-08-18,Jessica English,Suddenly newspaper better.
171,Mantenimiento,Agreement outside loss ever seven.,Email,Finalizado,2024-11-14,Thomas Delgado,So final course foot.
172,Campaña,Risk start commercial its again.,Email,Activo,2024-04-22,Lisa Spence,Community at detail road.
173,Campaña,Statement debate experience onto.,SMS,Finalizado,2024-07-01,Madison Wright,Near late stage chance admit.
174,Campaña,Scientist side study color night.,Email,Finalizado,2024-05-31,Susan Williams,Choose guy effect go day.
175,Campaña,Five when network argue whole.,Llamada,Activo,2025-01-23,Todd Pruitt,Break much sit production.
176,Mantenimiento,Week certain painting hundred back away.,Email,Activo,2024-10-27,Robert Walker,Whether two of agent.
177,Mantenimiento,Stage ability hair short perform part.,Llamada,Activo,2024-11-23,Kevin Mccoy,Care down page study smile.
178,Reclamo,Task on hold.,SMS,Finalizado,2024-12-13,Michelle Norton,Debate growth piece daughter.
179,Mantenimiento,Activity budget see especially each.,Email,Activo,2025-01-17,Brian Larson,Present risk next unit.
180,Mantenimiento,From bad notice.,Llamada,Finalizado,2024-08-05,Melissa Moore,House space kid into age.
181,Campaña,Economic above young accept enjoy employee.,Llamada,Activo,2024-07-04,Jodi Robles,Step act prove become either.
182,Reclamo,Remember player ability work.,SMS,Finalizado,2024-12-08,Joshua Carney,Either about or might animal.
183,Reclamo,Read cost four space.,Llamada,Finalizado,2025-03-26,Susan Rowe,Arm lead guess.
184,Campaña,Yet similar can.,Llamada,Finalizado,2024-08-12,John Weber,Simple through easy civil.
185,Mantenimiento,Not learn worker.,Email,Activo,2025-02-16,Kristen Johnson,Article will line shake bed.
186,Reclamo,Modern surface site.,SMS,Activo,2024-12-15,Jerry Bell,Pull former west sell base.
187,Mantenimiento,Finally education Mr far hit.,Email,Activo,2024-04-17,Brittany Smith,Car such put mention light.
188,Mantenimiento,Near candidate baby.,SMS,Activo,2025-03-18,Steven Patton,Believe seek husband minute.
189,Campaña,Card else line event training history.,SMS,Finalizado,2024-11-04,Tiffany Cole,Foreign left reduce court.
190,Reclamo,Break establish term bank.,Llamada,Finalizado,2024-11-25,Julia Schmidt,Risk record big upon.
191,Mantenimiento,Drop trade floor good.,Email,Finalizado,2024-05-18,Gregory Allen,From usually such many.
192,Mantenimiento,Pattern different allow material wide agreement.,Email,Finalizado,2025-03-19,Jill Randall,Simple agree move account.
193,Mantenimiento,Agency skin teacher direction we up.,SMS,Finalizado,2025-01-01,Stephen Johnson,Day happy win fly.
194,Mantenimiento,Suggest how probably respond entire.,Email,Activo,2025-03-30,Robert Jenkins,Watch war instead.
195,Campaña,Course TV life media.,Email,Finalizado,2025-03-17,Colton Hernandez,This everyone note.
196,Reclamo,Girl hospital from likely teach.,Email,Activo,2024-09-04,James Le,Scene ability why home kid.
197,Mantenimiento,Start admit sea style feel.,SMS,Finalizado,2024-11-17,Matthew Moore,History color heart ask.
198,Reclamo,Future popular team pretty sea rich.,Email,Activo,2024-04-25,William Randolph,During as perform west fill.
199,Campaña,Movie turn into.,Email,Finalizado,2024-05-02,Daniel Williams,Make commercial just never.
200,Reclamo,Pull force ground across outside.,Llamada,Finalizado,2024-08-19,Mrs. Lindsey Hansen,Degree avoid home.
201,Campaña,Number past bank.,Llamada,Activo,2025-03-08,Glenn Mendoza Jr.,This culture very I.
202,Campaña,These end responsibility.,Email,Finalizado,2025-01-21,Donald Cohen,Fast light what record.
203,Mantenimiento,View recent back economy artist.,Email,Finalizado,2024-12-02,Daniel Simon,Water relate age.
204,Mantenimiento,Nation Congress suddenly father decide.,Llamada,Activo,2024-07-18,Michele Cruz,When bag wish low tonight.
205,Mantenimiento,Open reflect modern similar race.,Email,Activo,2025-03-27,Joshua Taylor,His well civil she.
206,Reclamo,Score although last yeah catch firm.,Llamada,Finalizado,2025-01-02,Larry Washington,Herself wife fast feel.
207,Reclamo,Party recently positive.,Email,Finalizado,2024-05-16,Elizabeth Jackson,Civil save style space mind.
208,Mantenimiento,He assume miss forget.,SMS,Activo,2024-05-27,Marie Boyd,Trip mention my newspaper.
209,Reclamo,Middle beyond college myself six.,Llamada,Activo,2024-06-13,Cheryl Odom,Hospital enjoy truth her.
210,Mantenimiento,Story TV out forget maybe apply.,SMS,Activo,2024-09-10,Robert Hart,Gas whether wear tough.
211,Mantenimiento,There into my analysis.,Llamada,Activo,2024-09-19,Victoria Anderson,Sea sea three anyone.
212,Reclamo,Worry station rich use.,Llamada,Finalizado,2024-07-09,Michael Rowland,Billion memory listen four.
213,Reclamo,Son material pattern study between.,Email,Activo,2024-12-16,Anna Marquez,Church rise deal cultural.
214,Reclamo,Effort again effort let.,Llamada,Activo,2025-01-22,John Scott,Right full true oil.
215,Reclamo,Apply reflect care both total when.,SMS,Activo,2025-03-19,Lucas Berg,Trouble program place run.
216,Reclamo,Art will offer leader street memory.,Email,Activo,2024-05-10,Christine Dillon,Although even board.
217,Campaña,Ask provide subject receive happy.,Email,Finalizado,2024-12-14,Sabrina Hall,Part fast generation time.
218,Campaña,Main first help yard site.,SMS,Activo,2025-04-03,Erica Anderson,Loss history find major.
219,Campaña,Hotel serious word.,Llamada,Activo,2024-04-27,Kenneth Leblanc,Art fish agency.
220,Reclamo,Do might report.,Email,Finalizado,2025-01-09,Kelli Hicks,Radio of home worker.
221,Reclamo,Piece about nothing animal.,Llamada,Activo,2024-11-17,Patricia Krueger,Enter new work.
222,Campaña,Feel model size meet.,Email,Finalizado,2024-09-10,Sarah Hunt,Manage sing answer firm.
223,Reclamo,Walk human scene.,Llamada,Finalizado,2024-10-04,Stephen Estrada,Central run exactly soldier.
224,Reclamo,Course very there between when.,Llamada,Finalizado,2024-09-09,Jerry Berger,Mention author hard and item.
225,Reclamo,Common measure suddenly project.,Email,Activo,2024-10-31,Jade Lee,Star simple often happen.
226,Mantenimiento,Save million my leave.,Email,Finalizado,2024-08-22,Alison Kim,Card member become end its.
227,Mantenimiento,Although leave network establish support really.,Email,Finalizado,2025-01-19,Adam Kelley,Last score part entire.
228,Mantenimiento,Financial laugh style single relate.,Email,Finalizado,2024-09-27,Melanie Powers,Space up hit pass indeed gun.
229,Campaña,Attack along reality teach.,SMS,Finalizado,2025-03-04,Benjamin Taylor,Wish relate eight necessary.
230,Mantenimiento,Red put though.,Llamada,Activo,2024-06-23,David Thompson,Left argue set between.
231,Campaña,Sense will time think world necessary.,SMS,Activo,2025-02-05,Nancy Mathis,Off clear product picture.
232,Campaña,Democratic new total.,Email,Finalizado,2025-03-09,Christine Dixon,Data debate seek.
233,Mantenimiento,Catch protect administration sound.,SMS,Activo,2025-02-20,Ashlee Smith,Tough dream thus.
234,Campaña,Team without ahead stop others.,Email,Activo,2025-03-03,Jerome Schaefer,Would best order few maybe.
235,Reclamo,Number set energy management.,Email,Finalizado,2024-10-04,Christina Powers,Effect summer hundred song.
236,Mantenimiento,Course somebody figure red board.,SMS,Finalizado,2024-09-16,Lindsay Gonzalez,Just west perform inside.
237,Reclamo,Season real throw remain.,Email,Finalizado,2025-01-09,Taylor Torres,Boy clear develop.
238,Campaña,Win civil whole foreign fill.,SMS,Activo,2024-09-11,Caitlin Hurst,High trial administration.
239,Campaña,Explain pull recent.,SMS,Finalizado,2024-09-01,Kimberly Burnett,Buy your success.
240,Mantenimiento,Tree base range indeed find.,Email,Finalizado,2025-04-04,Maria Gilbert,Sometimes as morning once.
241,Campaña,Sure hour what.,Llamada,Activo,2025-03-09,Thomas Steele,Under of meet bar raise sit.
242,Mantenimiento,Social no last.,Llamada,Finalizado,2024-06-23,Jonathan Horton,Me enter Mrs recently.
243,Mantenimiento,Note strong instead require.,Email,Finalizado,2024-07-21,Brian Lee,More position how lot.
244,Mantenimiento,Represent partner particularly could section bill.,Llamada,Finalizado,2024-06-25,David Perry,Sea control cost authority.
245,Campaña,North fight pay often out similar political.,SMS,Finalizado,2024-12-16,Jerry Molina,Appear dinner unit agree.
246,Campaña,Lay election effect take shoulder.,Email,Activo,2024-09-12,Bryan Kelly,Place party trip family.
247,Campaña,End culture stand assume she growth level.,SMS,Activo,2025-03-03,Jonathan Maldonado,Must scientist brother serve.
248,Mantenimiento,Try since worry.,Llamada,Finalizado,2025-03-08,Mary Robinson,Part goal accept.
249,Campaña,Nothing avoid power foreign save.,SMS,Finalizado,2024-06-22,Katherine Williams,Sister white nation sit.
250,Mantenimiento,Cause amount arrive.,Llamada,Finalizado,2025-03-14,Sally Rogers,Agree rock live red reality.
251,Mantenimiento,Door fall affect away.,Llamada,Activo,2024-05-02,Ronnie Clark,Hundred explain mention go.
252,Campaña,Really father even too nearly option.,SMS,Activo,2024-09-20,Melissa Choi,Local lot music house.
253,Mantenimiento,Take either do down act.,Llamada,Activo,2024-10-13,Laura Brown,Deal claim record this movie.
254,Reclamo,Lay why just result.,Llamada,Finalizado,2024-11-15,Travis Ramos,Responsibility able enough.
255,Campaña,Also similar floor expert.,Llamada,Finalizado,2025-04-06,Craig Dickerson,Center strategy local open.
256,Reclamo,Example week rule.,Email,Activo,2024-05-17,Nicole Hicks,Issue kid life such seat.
257,Reclamo,Far point write.,Llamada,Finalizado,2025-02-19,Misty Cross,Call cost number.
258,Campaña,Sign myself kitchen budget information gun.,Llamada,Finalizado,2024-07-08,Sierra Stark,Pass he life Democrat.
259,Campaña,Old mission without company.,Llamada,Finalizado,2025-02-09,Amy Skinner,Employee on them sure.
260,Campaña,Religious national lot.,Llamada,Finalizado,2025-01-25,Jacqueline Faulkner,Design late by various.
261,Mantenimiento,Result down really performance production then.,SMS,Activo,2024-08-15,Matthew Bray,Glass baby if.
262,Campaña,Moment study teach.,SMS,Activo,2024-08-25,Anthony Lopez,Want bit huge ask get.
263,Mantenimiento,Commercial carry out energy take have.,Llamada,Finalizado,2025-03-27,Teresa Estrada,Heart source market wide.
264,Campaña,Worry whose southern career.,SMS,Activo,2025-02-07,Stacey Shea,Plan while continue weight.
265,Mantenimiento,Change fish with bar.,Email,Activo,2024-09-25,Edward Munoz,Factor like hard.
266,Campaña,Democrat scene customer according give strategy.,Email,Activo,2024-12-26,Brian Gillespie,There as attorney and.
